provider_id,provider_name,programme_name,major_name,specialisation_name,study_stage,qualification_level,fee_year,student_type,tuition_fee_nzd,total_estimated_fee_nzd,fee_basis,calculation_method,source_link,last_checked,notes
7002.0,University of Waikato,Master of Environment and Society,,,Postgraduate,Master,2026,International,45920.0,,"per $45,920 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 17; page_title=International tuition costs :: University of Waikato; raw=Master of Environment and Society | $45,920 | $68,880 | $48,216 | $72,324"
7002.0,University of Waikato,Master of Environmental Planning,,,Postgraduate,Master,2026,International,46008.0,,"per $46,008 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 18; page_title=International tuition costs :: University of Waikato; raw=Master of Environmental Planning | $46,008 | $48,311 | $72,471"
7002.0,University of Waikato,Master of Health Science,,,Postgraduate,Master,2026,International,50030.0,,"per $50,030 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 19; page_title=International tuition costs :: University of Waikato; raw=Master of Health Science | $50,030 | $75,045 | $52,532 | $78,797"
7002.0,University of Waikato,"Master of Health, Sport and Human Performance",,,Postgraduate,Master,2026,International,50030.0,,"per $50,030 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 20; page_title=International tuition costs :: University of Waikato; raw=Master of Health, Sport and Human Performance | $50,030 | $75,045 | $52,532 | $78,797"
7002.0,University of Waikato,Master of Information Technology,,,Postgraduate,Master,2026,International,46200.0,,"per $46,200 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 21; page_title=International tuition costs :: University of Waikato; raw=Master of Information Technology | $46,200 | $69,300 (180 points) $92,400 (240 points) | $48,510 | $72,765 (180 points) $97,020 (240 points)"
7002.0,University of Waikato,Master of Laws,,,Postgraduate,Master,2026,International,43370.0,,"per $43,370 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 22; page_title=International tuition costs :: University of Waikato; raw=Master of Laws | $43,370 | $45,539 | $68,308"
7002.0,University of Waikato,Master of Laws,Māori/Pacific and Indigenous People's Law,,Postgraduate,Master,2026,International,43370.0,,"per $43,370 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 23; page_title=International tuition costs :: University of Waikato; raw=Master of Laws in Māori/Pacific and Indigenous People's Law | $43,370 | $45,539 | $68,308"
7002.0,University of Waikato,Master of Legal Studies,,,Postgraduate,Master,2026,International,43370.0,,"per $43,370 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 24; page_title=International tuition costs :: University of Waikato; raw=Master of Legal Studies | $43,370 | $65,055 | $45,539 | $68,308"
7002.0,University of Waikato,Master of Management,,,Postgraduate,Master,2026,International,59760.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 25; page_title=International tuition costs :: University of Waikato; raw=Master of Management | $59,760 | $62,748"
7002.0,University of Waikato,Master of Media and Creative Technologies,,,Postgraduate,Master,2026,International,39580.0,,"per $39,580 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 26; page_title=International tuition costs :: University of Waikato; raw=Master of Media and Creative Technologies | $39,580 | $59,370 | $41,559 | $62,339"
